policy_id,customer_id,product_code,product_variant,start_date,end_date,policy_status,written_premium,sum_insured,currency,sales_channel,policy_version
P-2025-000036,100220,AUTO,CASCO,2025-04-23,2026-03-27,Active,729.58,37743.14,EUR,Phone,1
P-2024-000037,100498,AUTO,MTPL,2024-05-03,2025-02-17,Expired,105.41,9066.41,EUR,Agent,1
P-2024-000038,100847,HOME,HomeBasic,2024-09-10,2025-07-15,Active,281.38,16014.36,EUR,Agent,1
P-2025-000039,100892,TRAVEL,Europe,2025-05-26,2026-10-17,Active,75.9,4301.47,EUR,Broker,1
P-2025-000040,100872,LIABILITY,Personal,2025-04-19,2026-04-25,Active,101.28,11485.74,EUR,Online,1
P-2023-000041,100955,PET,Dog,2023-05-02,2023-12-09,Expired,179.84,43310.51,EUR,Phone,1
P-2023-000042,100620,TRAVEL,Europe,2023-06-01,2024-05-21,Expired,53.99,28664.94,EUR,Bank,1
P-2024-000043,100657,HOME,HomeBasic,2024-06-13,2025-06-18,Expired,407.69,1928.32,EUR,Phone,1
P-2024-000044,100620,LIABILITY,Personal,2024-05-22,2025-02-23,Expired,285.21,44107.87,EUR,Agent,1
P-2025-000045,100495,TRAVEL,World,2025-02-01,2025-12-27,Active,55.46,7743.86,EUR,Broker,1
P-2024-000046,100266,TRAVEL,World,2024-11-01,2025-09-19,Active,50.02,43096.48,EUR,Broker,1
P-2023-000047,100375,LIABILITY,Personal,2023-05-14,2023-12-01,Expired,112.58,45674.57,EUR,Phone,1
P-2023-000048,100072,TRAVEL,Europe,2023-04-25,2024-02-13,Expired,56.27,21123.45,EUR,Agent,1
P-2024-000049,100790,TRAVEL,Europe,2024-08-13,2025-11-30,Active,41.66,5102.52,EUR,Broker,1
P-2024-000050,100668,PET,Cat,2024-07-14,2025-10-12,Active,67.65,38527.07,EUR,Agent,1
P-2024-000051,100088,AUTO,MTPL,2024-04-23,2025-03-13,Expired,120.5,3668.84,EUR,Bank,1
P-2023-000052,100492,TRAVEL,World,2023-06-08,2024-09-22,Expired,93.94,29177.97,EUR,Broker,1
P-2024-000053,100105,AUTO,MTPL,2024-10-31,2025-08-18,Active,378.22,8214.13,EUR,Bank,1
P-2023-000054,100586,LIABILITY,Personal,2023-06-10,2024-10-03,Expired,255.66,12379.01,EUR,Agent,1
P-2025-000055,100826,AUTO,CASCO,2025-05-10,2026-05-10,Active,338.45,46154.16,EUR,Agent,1
P-2024-000056,100383,LIABILITY,Personal,2024-08-21,2025-07-30,Active,253.38,37812.67,EUR,Agent,1
P-2024-000057,100950,TRAVEL,World,2024-08-25,2025-07-06,Active,73.68,33228.09,EUR,Agent,1
P-2025-000058,100611,LIABILITY,Personal,2025-03-20,2025-11-04,Active,107.7,4059.14,EUR,Broker,1
P-2023-000059,100110,PET,Dog,2023-08-04,2024-10-14,Expired,78.35,5037.89,EUR,Online,1
P-2025-000060,100591,TRAVEL,World,2025-02-05,2026-02-28,Active,66.8,15820.85,EUR,Broker,1
P-2024-000061,100972,AUTO,MTPL,2024-11-06,2025-12-04,Active,232.04,14411.22,EUR,Online,1
P-2025-000062,100517,PET,Cat,2025-01-22,2026-02-20,Active,94.76,34444.48,EUR,Agent,1
P-2024-000063,100920,TRAVEL,World,2024-01-19,2025-01-31,Expired,49.09,12332.72,EUR,Bank,1
P-2024-000064,100382,LIABILITY,Personal,2024-12-12,2025-11-09,Active,130.63,40317.41,EUR,Agent,1
P-2023-000065,100165,HOME,HomePlus,2023-01-11,2024-01-09,Expired,557.66,5128.51,EUR,Bank,1
P-2024-000066,100565,TRAVEL,World,2024-05-26,2025-09-11,Active,88.51,40785.37,EUR,Bank,1
P-2023-000067,100787,TRAVEL,World,2023-07-31,2024-10-23,Expired,42.23,40359.0,EUR,Online,1
P-2025-000068,100620,TRAVEL,Europe,2025-01-14,2026-04-16,Active,50.67,34208.44,EUR,Online,1
P-2024-000069,100707,HOME,HomePlus,2024-05-10,2025-09-19,Active,1076.57,16050.14,EUR,Online,1
P-2024-000070,100518,PET,Dog,2024-05-21,2025-05-02,Expired,204.92,42605.8,EUR,Bank,1
P-2024-000071,100171,TRAVEL,World,2024-07-21,2025-09-04,Active,47.22,34155.59,EUR,Agent,1
P-2025-000072,100928,LIABILITY,Personal,2025-04-27,2026-06-20,Active,123.63,26044.57,EUR,Broker,1
P-2024-000073,100382,LIABILITY,Personal,2024-12-18,2026-04-27,Active,172.28,49080.84,EUR,Broker,1
P-2023-000074,100002,PET,Cat,2023-04-18,2024-02-23,Expired,101.55,42103.84,EUR,Bank,1
P-2024-000075,100446,PET,Dog,2024-04-15,2025-05-25,Expired,108.61,7957.72,EUR,Broker,1
P-2024-000076,100891,TRAVEL,Europe,2024-10-19,2025-08-28,Active,38.69,20981.12,EUR,Bank,1
P-2025-000077,100717,AUTO,CASCO,2025-01-14,2025-11-28,Active,341.14,18140.01,EUR,Phone,1
P-2025-000078,100561,PET,Cat,2025-04-24,2025-12-20,Active,122.98,13190.8,EUR,Agent,1
P-2023-000079,100558,TRAVEL,Europe,2023-06-19,2024-06-23,Expired,38.98,49778.23,EUR,Broker,1
P-2023-000080,100883,TRAVEL,Europe,2023-03-10,2024-04-16,Expired,33.41,19087.67,EUR,Phone,1
P-2024-000081,100235,PET,Cat,2024-10-30,2025-07-06,Active,93.49,9205.53,EUR,Agent,1
P-2024-000082,100966,AUTO,MTPL,2024-02-06,2025-02-06,Expired,319.65,25880.13,EUR,Broker,1
P-2024-000083,100549,LIABILITY,Personal,2024-11-23,2025-11-09,Active,135.97,24226.31,EUR,Online,1
P-2025-000084,100356,PET,Cat,2025-02-16,2026-05-16,Active,176.96,21342.14,EUR,Broker,1
P-2025-000085,100596,TRAVEL,Europe,2025-01-19,2026-05-10,Active,27.52,44857.77,EUR,Agent,1
P-2023-000086,100305,TRAVEL,World,2023-05-14,2024-02-13,Expired,149.74,23443.4,EUR,Agent,1
P-2024-000087,100441,HOME,HomePlus,2024-04-29,2025-08-16,Active,846.04,16267.02,EUR,Online,1
P-2025-000088,100984,PET,Dog,2025-03-20,2026-05-30,Active,94.74,17905.83,EUR,Bank,1
P-2023-000089,100616,TRAVEL,World,2023-06-01,2024-03-20,Expired,225.74,43241.73,EUR,Bank,1
P-2023-000090,100833,PET,Cat,2023-04-15,2024-05-27,Expired,117.5,9222.92,EUR,Online,1
P-2023-000091,100421,AUTO,MTPL,2023-02-05,2024-03-29,Expired,227.56,36416.45,EUR,Online,1
P-2024-000092,100894,AUTO,MTPL,2024-01-14,2024-10-15,Expired,172.88,26107.25,EUR,Phone,1
P-2024-000093,100081,HOME,HomeBasic,2024-05-29,2025-06-09,Expired,356.54,35839.05,EUR,Phone,1
P-2023-000094,100105,PET,Cat,2023-12-27,2024-12-16,Expired,74.67,40317.69,EUR,Bank,1
P-2024-000095,100972,HOME,HomeBasic,2024-11-02,2026-01-19,Active,651.11,40938.53,EUR,Bank,1
P-2024-000096,100976,AUTO,MTPL,2024-11-29,2025-12-23,Active,187.2,24678.37,EUR,Phone,1
P-2023-000097,100617,PET,Cat,2023-01-07,2023-08-07,Expired,108.53,39342.51,EUR,Broker,1
P-2023-000098,100067,HOME,HomePlus,2023-04-08,2024-05-02,Expired,459.02,17933.4,EUR,Phone,1
P-2024-000099,100762,AUTO,MTPL,2024-07-22,2025-08-19,Active,178.32,6972.1,EUR,Online,1
P-2023-000100,100197,HOME,HomePlus,2023-06-27,2024-09-24,Expired,472.68,1029.3,EUR,Online,1
P-2024-000101,100064,PET,Cat,2024-08-26,2025-04-27,Expired,95.44,21979.6,EUR,Phone,1
P-2024-000102,100696,PET,Dog,2024-06-24,2025-04-25,Expired,51.12,19466.48,EUR,Online,1
P-2024-000103,100533,PET,Dog,2024-04-07,2025-04-30,Expired,195.71,42159.89,EUR,Phone,1
P-2023-000104,100157,LIABILITY,Personal,2023-07-28,2024-07-13,Expired,156.49,15605.24,EUR,Online,1
P-2024-000105,100397,AUTO,MTPL,2024-04-19,2025-07-09,Active,238.18,45874.57,EUR,Agent,1
P-2023-000106,100962,HOME,HomePlus,2023-08-08,2024-05-18,Expired,682.76,4456.25,EUR,Phone,1
P-2023-000107,100802,PET,Cat,2023-08-03,2024-07-24,Expired,53.42,37156.14,EUR,Phone,1
P-2023-000108,100527,PET,Cat,2023-10-16,2024-11-07,Expired,81.32,1648.21,EUR,Bank,1
P-2025-000109,100847,LIABILITY,Personal,2025-05-12,2026-04-11,Active,181.41,40346.08,EUR,Broker,1
P-2023-000110,100390,PET,Cat,2023-08-06,2024-06-08,Expired,62.69,15159.46,EUR,Broker,1
P-2023-000111,100813,TRAVEL,World,2023-03-25,2024-10-02,Expired,31.92,35345.83,EUR,Online,1
P-2023-000112,100433,AUTO,CASCO,2023-08-01,2024-08-03,Expired,141.48,40025.59,EUR,Broker,1
P-2024-000113,100799,PET,Cat,2024-09-27,2026-03-03,Active,61.23,6792.9,EUR,Bank,1
P-2025-000114,100057,PET,Cat,2025-01-29,2026-01-09,Active,66.54,21262.31,EUR,Broker,1
P-2023-000115,100278,AUTO,MTPL,2023-12-09,2025-02-27,Expired,321.63,42793.39,EUR,Online,1
P-2023-000116,100218,AUTO,CASCO,2023-12-16,2024-11-09,Expired,433.16,49081.62,EUR,Phone,1
P-2024-000117,100630,TRAVEL,Europe,2024-12-11,2025-05-14,Expired,9.98,38630.53,EUR,Phone,1
P-2023-000118,100578,PET,Dog,2023-06-27,2024-05-22,Expired,87.15,46965.14,EUR,Online,1
P-2025-000119,100662,LIABILITY,Personal,2025-04-22,2026-06-25,Active,231.37,35131.51,EUR,Agent,1
P-2024-000120,100042,PET,Dog,2024-10-22,2025-10-03,Active,80.53,16371.45,EUR,Agent,1
P-2023-000121,100735,HOME,HomePlus,2023-02-20,2024-03-07,Expired,800.2,41415.54,EUR,Bank,1
P-2023-000122,100669,TRAVEL,World,2023-05-16,2024-04-05,Expired,108.44,7481.17,EUR,Bank,1
P-2023-000123,100073,AUTO,MTPL,2023-11-23,2024-11-28,Expired,210.74,28655.37,EUR,Phone,1
P-2023-000124,100715,TRAVEL,World,2023-09-15,2025-02-05,Expired,90.87,18762.6,EUR,Phone,1
P-2023-000125,100666,HOME,HomeBasic,2023-11-18,2024-08-29,Expired,520.06,24094.11,EUR,Agent,1
P-2025-000126,100441,LIABILITY,Personal,2025-04-06,2026-03-07,Active,259.95,34509.64,EUR,Online,1
P-2024-000127,100789,LIABILITY,Personal,2024-05-17,2025-05-28,Expired,130.01,42829.07,EUR,Online,1
P-2025-000128,100536,TRAVEL,World,2025-03-10,2025-11-04,Active,80.72,19953.55,EUR,Agent,1
P-2023-000129,100428,HOME,HomePlus,2023-04-03,2023-11-25,Expired,653.39,27654.68,EUR,Online,1
P-2024-000130,100727,HOME,HomeBasic,2024-01-23,2024-10-18,Expired,386.22,16076.28,EUR,Broker,1
P-2024-000131,100336,TRAVEL,Europe,2024-09-02,2025-09-17,Active,20.31,29496.65,EUR,Bank,1
P-2024-000132,100953,HOME,HomePlus,2024-10-05,2025-11-02,Active,1244.45,44339.46,EUR,Bank,1
P-2023-000133,100151,PET,Dog,2023-05-25,2024-03-01,Expired,152.58,30369.28,EUR,Bank,1
P-2024-000134,100528,LIABILITY,Personal,2024-07-27,2025-11-23,Active,135.13,17602.35,EUR,Bank,1
P-2023-000135,100337,PET,Cat,2023-01-04,2024-09-01,Expired,91.88,29369.3,EUR,Agent,1
P-2023-000136,100619,PET,Cat,2023-04-09,2023-11-22,Expired,82.77,37451.35,EUR,Phone,1
P-2024-000137,100947,PET,Dog,2024-10-29,2026-04-22,Active,94.49,13825.8,EUR,Broker,1
P-2024-000138,100432,PET,Cat,2024-05-16,2025-03-25,Expired,28.07,18230.84,EUR,Online,1
P-2025-000139,100809,TRAVEL,Europe,2025-05-29,2025-12-17,Active,41.71,22112.06,EUR,Bank,1
P-2023-000140,100695,TRAVEL,Europe,2023-03-13,2023-12-31,Expired,12.62,42575.12,EUR,Agent,1
P-2023-000141,100354,PET,Dog,2023-07-12,2024-02-12,Expired,151.36,27685.18,EUR,Broker,1
P-2023-000142,100407,PET,Cat,2023-01-02,2023-12-03,Expired,138.67,3511.91,EUR,Bank,1
P-2024-000143,100265,HOME,HomeBasic,2024-04-13,2025-03-29,Expired,298.62,29587.65,EUR,Broker,1
P-2024-000144,100486,TRAVEL,Europe,2024-07-13,2025-11-09,Active,16.21,10134.57,EUR,Online,1
P-2023-000145,100232,AUTO,CASCO,2023-09-15,2024-08-14,Expired,334.56,30225.26,EUR,Agent,1
P-2023-000146,100160,PET,Cat,2023-12-30,2024-12-18,Expired,174.26,11585.54,EUR,Bank,1
P-2023-000147,100435,AUTO,MTPL,2023-01-02,2023-06-03,Expired,270.18,31044.44,EUR,Broker,1
P-2023-000148,100619,PET,Dog,2023-07-26,2024-10-18,Expired,97.15,26727.42,EUR,Phone,1
P-2023-000149,100780,HOME,HomePlus,2023-01-15,2024-05-31,Expired,928.93,33669.84,EUR,Agent,1
P-2024-000150,100660,TRAVEL,Europe,2024-10-18,2025-12-24,Active,18.09,42115.89,EUR,Broker,1
P-2023-000151,100379,PET,Dog,2023-12-22,2025-02-17,Expired,118.34,46997.02,EUR,Bank,1
P-2023-000152,100182,AUTO,MTPL,2023-06-10,2024-08-27,Expired,276.93,48795.11,EUR,Online,1
P-2023-000153,100783,TRAVEL,World,2023-08-02,2024-09-06,Expired,55.01,26268.15,EUR,Bank,1
P-2023-000154,100972,HOME,HomeBasic,2023-04-17,2024-07-15,Expired,307.82,30268.31,EUR,Phone,1
P-2023-000155,100050,LIABILITY,Personal,2023-09-12,2024-10-02,Expired,98.91,29612.05,EUR,Bank,1
P-2023-000156,100083,TRAVEL,Europe,2023-08-24,2024-10-10,Expired,40.58,9909.06,EUR,Bank,1
P-2023-000157,100191,LIABILITY,Personal,2023-12-04,2025-01-20,Expired,252.46,39662.12,EUR,Agent,1
P-2023-000158,100008,AUTO,MTPL,2023-07-11,2024-03-26,Expired,245.57,11375.55,EUR,Phone,1
P-2024-000159,100404,PET,Cat,2024-10-29,2025-12-29,Active,109.45,35512.43,EUR,Online,1
P-2024-000160,100617,HOME,HomeBasic,2024-03-06,2024-12-30,Expired,922.93,47702.89,EUR,Agent,1
P-2023-000161,100013,HOME,HomePlus,2023-02-11,2023-11-17,Expired,776.48,5543.03,EUR,Online,1
P-2024-000162,100545,HOME,HomeBasic,2024-08-31,2025-07-28,Active,287.06,27091.07,EUR,Online,1
P-2025-000163,100779,AUTO,MTPL,2025-02-07,2026-05-10,Active,313.96,45019.41,EUR,Bank,1
P-2025-000164,100849,AUTO,MTPL,2025-02-15,2026-03-19,Active,208.33,38348.39,EUR,Phone,1
P-2024-000165,100865,AUTO,MTPL,2024-07-14,2025-05-25,Expired,114.33,24873.39,EUR,Online,1
P-2024-000166,100440,HOME,HomePlus,2024-10-15,2025-09-22,Active,1822.68,26904.17,EUR,Online,1
P-2025-000167,100650,LIABILITY,Personal,2025-01-01,2026-02-07,Active,134.57,40844.24,EUR,Agent,1
P-2023-000168,100111,AUTO,MTPL,2023-01-22,2024-07-13,Expired,128.51,22448.12,EUR,Online,1
P-2023-000169,100980,HOME,HomeBasic,2023-04-04,2024-03-02,Expired,450.25,4416.25,EUR,Bank,1
P-2025-000170,100019,LIABILITY,Personal,2025-02-17,2026-02-17,Active,262.16,17066.32,EUR,Bank,1
P-2023-000171,100421,PET,Cat,2023-05-09,2024-05-21,Expired,94.79,16483.86,EUR,Phone,1
P-2024-000172,100841,LIABILITY,Personal,2024-03-07,2025-08-01,Active,213.21,24765.88,EUR,Agent,1
P-2025-000173,100265,TRAVEL,Europe,2025-03-05,2025-11-18,Active,61.4,9800.39,EUR,Broker,1
P-2024-000174,100056,HOME,HomePlus,2024-08-29,2025-08-20,Active,288.38,22028.33,EUR,Phone,1
P-2024-000175,100951,AUTO,CASCO,2024-11-10,2025-10-15,Active,852.18,42437.7,EUR,Broker,1
P-2023-000176,100297,AUTO,MTPL,2023-05-14,2024-05-15,Expired,93.74,38668.61,EUR,Bank,1
P-2023-000177,100543,AUTO,CASCO,2023-03-27,2024-03-23,Expired,457.38,39804.85,EUR,Online,1
P-2023-000178,100056,HOME,HomeBasic,2023-01-20,2024-05-04,Expired,358.24,13858.01,EUR,Broker,1
P-2025-000179,100928,AUTO,MTPL,2025-02-10,2026-07-02,Active,91.77,43179.15,EUR,Online,1
P-2023-000180,100757,LIABILITY,Personal,2023-09-17,2024-05-23,Expired,327.92,31243.76,EUR,Online,1
P-2023-000181,100541,HOME,HomePlus,2023-07-03,2024-04-22,Expired,526.06,38563.2,EUR,Agent,1
P-2024-000182,100138,TRAVEL,World,2024-02-27,2025-03-14,Expired,102.07,26314.75,EUR,Phone,1
P-2023-000183,100524,AUTO,CASCO,2023-04-30,2024-01-24,Expired,622.71,31907.75,EUR,Bank,1
P-2023-000184,100740,PET,Cat,2023-03-28,2024-01-04,Expired,69.16,13995.22,EUR,Bank,1
P-2024-000185,100719,LIABILITY,Personal,2024-07-25,2025-09-09,Active,164.07,3754.99,EUR,Broker,1
P-2023-000186,100903,TRAVEL,Europe,2023-06-29,2024-07-14,Expired,17.37,9065.36,EUR,Broker,1
P-2023-000187,100181,LIABILITY,Personal,2023-03-10,2023-12-30,Expired,104.21,42750.37,EUR,Agent,1
P-2025-000188,100890,HOME,HomeBasic,2025-01-02,2026-01-25,Active,326.94,45405.44,EUR,Online,1
P-2023-000189,100107,PET,Dog,2023-10-06,2024-09-25,Expired,116.43,30557.44,EUR,Agent,1
P-2023-000190,100257,LIABILITY,Personal,2023-12-15,2024-11-06,Expired,277.22,2725.54,EUR,Online,1
P-2024-000191,100253,HOME,HomePlus,2024-05-12,2025-03-27,Expired,1123.6,44112.05,EUR,Online,1
P-2023-000192,100516,AUTO,CASCO,2023-07-05,2024-08-28,Expired,246.11,14305.97,EUR,Phone,1
P-2023-000193,100365,AUTO,MTPL,2023-12-13,2024-09-13,Expired,137.95,45532.5,EUR,Phone,1
P-2023-000194,100039,AUTO,CASCO,2023-04-18,2023-11-23,Expired,256.44,31648.42,EUR,Bank,1
P-2024-000195,100739,TRAVEL,World,2024-05-23,2025-05-08,Expired,134.99,12063.69,EUR,Agent,1
P-2023-000196,100025,LIABILITY,Personal,2023-01-13,2023-08-20,Expired,156.56,22698.64,EUR,Online,1
P-2025-000197,100486,HOME,HomePlus,2025-05-25,2026-04-20,Active,515.33,10973.21,EUR,Online,1
P-2024-000198,100188,LIABILITY,Personal,2024-12-21,2025-10-29,Active,283.57,1430.08,EUR,Online,1
P-2023-000199,100601,LIABILITY,Personal,2023-10-31,2024-11-06,Expired,186.68,5248.62,EUR,Phone,1
P-2023-000200,100523,HOME,HomeBasic,2023-01-10,2024-06-11,Expired,226.81,31438.13,EUR,Bank,1
P-2025-000201,100098,AUTO,MTPL,2025-04-21,2026-01-12,Active,385.13,46970.88,EUR,Online,1
P-2023-000202,100835,AUTO,CASCO,2023-01-03,2023-09-12,Expired,501.9,31745.93,EUR,Bank,1
P-2023-000203,100100,TRAVEL,Europe,2023-11-15,2025-01-11,Expired,49.15,4125.93,EUR,Phone,1
P-2025-000204,100594,HOME,HomePlus,2025-02-03,2025-11-28,Active,442.48,47773.14,EUR,Agent,1
P-2023-000205,100862,HOME,HomePlus,2023-05-25,2024-09-22,Expired,881.04,48854.26,EUR,Agent,1
P-2024-000206,100971,HOME,HomePlus,2024-08-01,2025-09-28,Active,326.6,32378.66,EUR,Bank,1
P-2025-000207,100308,AUTO,MTPL,2025-02-24,2025-12-25,Active,109.52,38053.42,EUR,Broker,1
P-2023-000208,100771,PET,Dog,2023-04-07,2023-12-27,Expired,98.19,12884.67,EUR,Bank,1
P-2024-000209,100027,HOME,HomeBasic,2024-03-29,2025-03-07,Expired,168.4,9232.98,EUR,Online,1
P-2024-000210,100729,TRAVEL,World,2024-05-21,2025-06-10,Expired,101.84,34027.86,EUR,Online,1
P-2023-000211,100089,PET,Cat,2023-12-29,2025-05-28,Expired,133.57,21547.4,EUR,Agent,1
P-2023-000212,100432,HOME,HomeBasic,2023-06-19,2024-08-14,Expired,189.86,13564.24,EUR,Broker,1
P-2024-000213,100560,AUTO,MTPL,2024-11-29,2026-03-05,Active,357.55,2881.64,EUR,Bank,1
P-2023-000214,100926,TRAVEL,World,2023-07-07,2024-04-22,Expired,103.51,26209.99,EUR,Phone,1
P-2024-000215,100950,TRAVEL,Europe,2024-12-03,2025-12-26,Active,41.72,29521.44,EUR,Online,1
P-2023-000216,100366,PET,Cat,2023-07-06,2024-05-25,Expired,179.0,47004.97,EUR,Agent,1
P-2023-000217,100477,HOME,HomePlus,2023-03-04,2024-04-06,Expired,566.6,35161.15,EUR,Broker,1
P-2023-000218,100853,TRAVEL,Europe,2023-05-22,2024-02-25,Expired,29.96,2490.38,EUR,Broker,1
P-2025-000219,100707,TRAVEL,World,2025-03-08,2026-02-13,Active,70.43,41496.77,EUR,Agent,1
P-2023-000220,100948,TRAVEL,World,2023-09-28,2024-07-12,Expired,26.46,25634.76,EUR,Agent,1
P-2025-000221,100036,PET,Cat,2025-05-13,2026-04-04,Active,122.99,10441.14,EUR,Phone,1
P-2024-000222,100061,HOME,HomeBasic,2024-12-18,2026-05-31,Active,414.59,48689.78,EUR,Agent,1
P-2023-000223,100299,HOME,HomeBasic,2023-01-19,2023-11-26,Expired,316.53,17303.74,EUR,Agent,1
P-2023-000224,100545,HOME,HomeBasic,2023-11-04,2024-05-08,Expired,314.53,3571.6,EUR,Bank,1
P-2024-000225,100889,TRAVEL,Europe,2024-02-07,2025-07-19,Active,27.6,49201.87,EUR,Agent,1
P-2023-000226,100690,AUTO,MTPL,2023-11-04,2024-07-30,Expired,195.18,48109.31,EUR,Bank,1
P-2024-000227,100077,HOME,HomeBasic,2024-05-30,2025-05-21,Expired,239.43,30688.94,EUR,Agent,1
P-2023-000228,100677,AUTO,CASCO,2023-03-20,2023-10-08,Expired,314.75,28534.83,EUR,Broker,1
P-2024-000229,100652,LIABILITY,Personal,2024-09-05,2025-10-10,Active,204.1,22209.16,EUR,Bank,1
P-2024-000230,100944,AUTO,CASCO,2024-10-24,2026-01-12,Active,382.62,39474.3,EUR,Broker,1
P-2023-000231,100218,TRAVEL,Europe,2023-10-18,2024-12-16,Expired,35.89,48140.87,EUR,Online,1
P-2023-000232,100982,TRAVEL,World,2023-08-19,2024-08-23,Expired,43.78,44631.61,EUR,Agent,1
P-2024-000233,100516,LIABILITY,Personal,2024-04-03,2025-04-24,Expired,110.99,14844.96,EUR,Bank,1
P-2023-000234,100604,PET,Cat,2023-04-05,2024-05-23,Expired,126.19,29793.72,EUR,Agent,1
P-2023-000235,100425,TRAVEL,World,2023-08-02,2024-05-21,Expired,64.71,8571.52,EUR,Bank,1
P-2025-000236,100638,HOME,HomeBasic,2025-04-24,2026-03-04,Active,363.19,4642.4,EUR,Agent,1
P-2025-000237,100683,PET,Cat,2025-01-15,2025-12-22,Active,72.2,48361.36,EUR,Phone,1
P-2025-000238,100982,PET,Cat,2025-05-28,2026-01-16,Active,69.08,18012.42,EUR,Phone,1
P-2024-000239,100200,TRAVEL,World,2024-02-25,2025-01-26,Expired,60.81,13623.97,EUR,Broker,1
P-2023-000240,100574,AUTO,CASCO,2023-12-07,2025-03-14,Expired,573.13,11443.96,EUR,Agent,1
P-2025-000241,100465,TRAVEL,Europe,2025-01-02,2026-01-31,Active,13.3,27132.85,EUR,Phone,1
P-2023-000242,100547,TRAVEL,Europe,2023-09-05,2024-07-19,Expired,28.22,15475.68,EUR,Agent,1
P-2024-000243,100937,HOME,HomeBasic,2024-02-19,2025-06-13,Expired,299.58,9352.66,EUR,Phone,1
